RxnID	rxnEq	rxnCTrans	rates	rxnType	basis	deviation
2mop_IN	2mop_i = 2mop_m	abcd = abcd		F		
ac_IN	ac_i = ac_c	ab = ab		F		
ala-L_IN	ala-L_i = ala-L_c	abc = abc		F		
arg-L_IN	arg-L_i = arg-L_c	abcdef = abcdef		F		
arg-L_OUT	arg-L_c = arg-L_o	abcdef = abcdef		B		
asp-L_IN	asp-L_i = asp-L_c	abcd = abcd		F		
asp-L_OUT	asp-L_c = asp-L_o	abcd = abcd		B		
co2_IN	co2_i = co2_c	a = a		F		
co2_OUT	co2_c = co2_o	a = a		B		
energy_IN	energy_i = energy_c	X = X		F		
energy_OUT	energy_c = energy_o	X = X		B		
glc-D_IN	glc-D_i = glc-D_c	abcdef = abcdef		F		
glc-D_OUT	glc-D_c = glc-D_o	abcdef = abcdef		B		
gln-L_IN	gln-L_i = gln-L_c	abcde = abcde		F		
glucys_IN	glucys_i = glucys_c	abcdefgh = abcdefgh		F		
glu-L_OUT	glu-L_c = glu-L_o	abcde = abcde		B		
gly_IN	gly_i = gly_c	ab = ab		F		
glyc_IN	glyc_i = glyc_c	abc = abc		F		
glycogen_IN	glycogen_i = glycogen_c	abcdef = abcdef		F		
gthrd_OUT	gthrd_c = gthrd_o	abcdefghij = abcdefghij		B		
h2o_IN	h2o_i = h2o_c	X = X		F		
h2o_OUT	h2o_c = h2o_o	X = X		B		
h_IN	h_i = h_c	X = X		F		
h_OUT	h_c = h_o	X = X		B		
lac-L_OUT	lac-L_c = lac-L_o	abc = abc		B		
nh4_IN	nh4_i = nh4_c	X = X		F		
nh4_OUT	nh4_c = nh4_o	X = X		B		
o2_IN	o2_i = o2_c	X = X		F		
pi_IN	pi_i = pi_c	X = X		F		
pi_OUT	pi_c = pi_o	X = X		B		
prot_ala_IN	prot_ala_i = prot_ala_c	abc = abc		F		
prot_arg_IN	prot_arg_i = prot_arg_c	abcdef = abcdef		F		
ser-L_IN	ser-L_i = ser-L_c	abc = abc		F		
ser-L_OUT	ser-L_c = ser-L_o	abc = abc		B		
urea_OUT	urea_c = urea_o	a = a		B		
2AMACHYD	2amac_c + h2o_c = pyr_c + nh4_c	abc + X = abc + X		F		
ACITL	cit_c + atp_c + coa_c = oaa_c + accoa_c + adp_c + pi_c	abcdef + X + X = afce + bd + X + X		F		
ACOAHi	accoa_c + h2o_c = ac_c + coa_c + h_c	ab + X = ab + X + X		F		
ACONTm	cit_m = icit_m	abcdef = bfdaec		FR		
ACONTm_R	icit_m = cit_m	abcdef = dafceb		R		
